protein	frequency
NP_001004358.1	252
NP_001004360.2	225
NP_001004416.2	612
NP_001004419.1	56
NP_001004426.1	273
NP_001004431.1	101
NP_001004432.1	230
NP_001004434.1	113
NP_001004439.1	429
NP_001004440.1	72
NP_001004441.2	182
NP_001004450.1	134
NP_001004451.1	142
NP_001004452.1	117
NP_001004453.2	108
NP_001004454.1	126
NP_001004456.1	169
NP_001004457.1	120
NP_001004458.1	153
NP_001004459.1	160
NP_001004460.1	106
NP_001004461.1	171
NP_001004462.1	85
NP_001004463.1	94
NP_001004464.1	133
NP_001004465.1	141
NP_001004466.1	121
NP_001004467.1	154
NP_001004469.1	115
NP_001004470.1	152
NP_001004471.1	150
NP_001004472.1	150
NP_001004473.1	127
NP_001004474.1	151
NP_001004475.1	158
NP_001004476.1	141
NP_001004477.1	162
NP_001004478.1	150
NP_001004479.1	160
NP_001004480.1	126
NP_001004481.1	92
NP_001004482.1	106
NP_001004483.1	120
NP_001004484.1	136
NP_001004485.1	137
NP_001004486.1	91
NP_001004487.1	134
NP_001004488.1	130
NP_001004489.1	134
NP_001004490.1	148
NP_001004491.1	145
NP_001004492.1	149
NP_001004684.1	140
NP_001004685.1	142
NP_001004686.1	145
NP_001004687.1	112
NP_001004688.1	132
NP_001004689.1	121
NP_001004690.1	154
NP_001004691.1	136
NP_001004692.1	108
NP_001004693.1	131
NP_001004694.2	6
NP_001004695.1	58
NP_001004696.1	127
NP_001004697.1	15
NP_001004698.1	136
NP_001004699.1	161
NP_001004700.2	171
NP_001004701.2	251
NP_001004702.1	196
NP_001004703.1	209
NP_001004704.1	183
NP_001004705.1	134
NP_001004706.1	138
NP_001004707.1	131
NP_001004708.1	140
NP_001004711.1	150
NP_001004712.1	123
NP_001004713.1	171
NP_001004714.1	128
NP_001004715.1	178
NP_001004717.1	155
NP_001004719.2	175
NP_001004720.1	115
NP_001004723.1	175
NP_001004724.1	148
NP_001004725.1	176
NP_001004726.1	175
NP_001004727.1	218
NP_001004728.1	139
NP_001004729.1	146
NP_001004730.1	152
NP_001004731.1	175
NP_001004733.1	125
NP_001004734.1	147
NP_001004735.1	155
NP_001004736.2	137
NP_001004737.1	142
NP_001004738.1	123
NP_001004739.1	146
NP_001004740.1	120
NP_001004741.1	116
NP_001004742.2	135
NP_001004743.1	163
NP_001004744.1	150
NP_001004745.1	146
NP_001004746.1	191
NP_001004747.1	148
NP_001004748.1	46
NP_001004749.1	134
NP_001004750.1	181
NP_001004751.1	159
NP_001004753.1	169
NP_001004754.1	181
NP_001004755.1	123
NP_001004756.2	172
NP_001004757.1	183
NP_001004758.1	156
NP_001004759.1	149
NP_001004760.2	166
NP_001005.1	26
NP_001005160.1	155
NP_001005161.2	149
NP_001005162.2	152
NP_001005163.1	168
NP_001005164.2	162
NP_001005165.1	145
NP_001005167.1	157
NP_001005168.1	174
NP_001005169.1	95
NP_001005170.1	117
NP_001005171.2	160
NP_001005172.2	179
NP_001005173.3	136
NP_001005174.1	142
NP_001005175.3	149
NP_001005176.1	40
NP_001005177.3	128
NP_001005178.1	145
NP_001005179.2	139
NP_001005180.1	135
NP_001005181.1	147
NP_001005182.1	134
NP_001005183.1	129
NP_001005184.1	158
NP_001005185.1	140
NP_001005186.2	137
NP_001005187.1	144
NP_001005188.1	109
NP_001005189.1	153
NP_001005190.1	127
NP_001005191.1	132
NP_001005192.2	129
NP_001005193.1	133
NP_001005194.1	128
NP_001005195.1	116
NP_001005196.1	90
NP_001005197.1	145
NP_001005198.1	125
NP_001005199.1	146
NP_001005200.1	119
NP_001005201.1	136
NP_001005202.1	144
NP_001005203.2	163
NP_001005204.1	104
NP_001005205.2	148
NP_001005207.1	268
NP_001005209.1	159
NP_001005210.1	147
NP_001005211.1	138
NP_001005212.1	131
NP_001005213.1	167
NP_001005214.2	118
NP_001005216.2	108
NP_001005217.1	1
NP_001005218.1	126
NP_001005226.1	127
NP_001005234.1	139
NP_001005235.1	106
NP_001005236.3	129
NP_001005237.1	167
NP_001005238.1	165
NP_001005239.1	5
NP_001005240.1	2
NP_001005241.2	134
NP_001005242.2	332
NP_001005243.1	161
NP_001005245.1	147
NP_001005270.3	138
NP_001005271.2	344
NP_001005272.3	264
NP_001005273.1	361
NP_001005274.1	200
NP_001005275.1	258
NP_001005276.1	132
NP_001005278.1	120
NP_001005279.1	168
NP_001005280.1	153
NP_001005281.1	124
NP_001005282.1	166
NP_001005283.1	138
NP_001005284.1	164
NP_001005285.1	132
NP_001005286.1	120
NP_001005288.1	183
NP_001005289.1	153
NP_001005290.1	133
NP_001005291.1	365
NP_001005323.1	156
NP_001005324.1	141
NP_001005325.1	119
NP_001005326.1	135
NP_001005327.2	129
NP_001005328.1	16
NP_001005329.1	77
NP_001005332.1	116
NP_001005333.1	137
NP_001005335.1	62
NP_001005336.1	109
NP_001005337.1	297
NP_001005338.1	93
NP_001005339.1	34
NP_001005340.1	237
NP_001005353.1	36
NP_001005354.1	12
NP_001005356.1	18
NP_001005360.1	200
NP_001005361.1	200
NP_001005362.1	199
NP_001005365.2	233
NP_001005366.1	349
NP_001005367.1	135
NP_001005368.1	62
NP_001005369.1	254
NP_001005373.1	272
NP_001005374.1	272
NP_001005376.1	100
NP_001005377.1	112
NP_001005386.1	28
NP_001005388.2	409
NP_001005389.2	218
NP_001005404.1	12
NP_001005405.1	67
NP_001005407.1	1077
NP_001005408.1	478
NP_001005413.1	86
NP_001005415.1	108
NP_001005416.1	83
NP_001005417.1	125
NP_001005463.1	96
NP_001005465.1	142
NP_001005467.1	70
NP_001005468.1	74
NP_001005469.1	136
NP_001005470.1	163
NP_001005471.1	132
NP_001005473.1	104
NP_001005474.1	177
NP_001005476.1	413
NP_001005479.1	166
NP_001005480.2	129
NP_001005482.1	137
NP_001005483.1	180
NP_001005484.1	12
NP_001005486.1	151
NP_001005487.1	115
NP_001005489.1	158
NP_001005490.1	102
NP_001005491.1	130
NP_001005492.1	147
NP_001005493.1	148
NP_001005494.1	171
NP_001005495.1	53
NP_001005496.1	164
NP_001005497.1	117
NP_001005498.2	285
NP_001005499.1	149
NP_001005500.1	169
NP_001005501.1	199
NP_001005502.1	103
NP_001005503.1	133
NP_001005504.1	2
NP_001005505.1	273
NP_001005512.2	170
NP_001005514.1	143
NP_001005515.1	130
NP_001005516.1	169
NP_001005517.1	158
NP_001005518.1	123
NP_001005519.2	148
NP_001005522.1	44
NP_001005527.1	58
NP_001005566.1	147
NP_001005567.2	172
NP_001005609.1	54
NP_001005610.2	21
NP_001005612.2	53
NP_001005613.1	21
NP_001005619.1	739
NP_001005731.1	706
NP_001005735.1	233
NP_001005738.1	108
NP_001005739.1	272
NP_001005741.1	128
NP_001005742.1	128
NP_001005743.1	192
NP_001005744.1	175
NP_001005745.1	170
NP_001005751.1	57
NP_001005752.1	159
NP_001005753.1	37
NP_001005781.1	7
NP_001005782.1	5
NP_001005783.2	162
NP_001005785.1	3
NP_001005786.2	3
NP_001005849.1	2
NP_001005850.2	240
NP_001005851.1	328
NP_001005853.1	83
NP_001005855.1	90
NP_001005861.1	135
NP_001005862.1	334
NP_001005909.1	92
NP_001005910.1	23
NP_001005911.1	23
NP_001005914.1	198
NP_001005915.1	62
NP_001005920.2	132
NP_001005922.1	123
NP_001006.1	33
NP_001006109.1	132
NP_001006115.1	62
NP_001006606.2	44
NP_001006608.2	41
NP_001006611.1	36
NP_001006613.1	26
NP_001006614.1	26
NP_001006615.1	26
NP_001006617.2	95
NP_001006618.1	103
NP_001006619.1	61
NP_001006620.1	98
NP_001006621.1	67
NP_001006622.1	67
NP_001006623.1	44
NP_001006624.1	29
NP_001006625.1	50
NP_001006626.1	49
NP_001006627.1	98
NP_001006628.1	98
NP_001006629.1	98
NP_001006630.1	98
NP_001006631.1	98
NP_001006632.1	98
NP_001006633.1	98
NP_001006635.1	256
NP_001006636.1	67
NP_001006637.1	175
NP_001006639.1	97
NP_001006640.1	19
NP_001006641.1	19
NP_001006642.1	140
NP_001006643.1	158
NP_001006656.1	232
NP_001006658.1	408
NP_001006659.1	379
NP_001006666.1	182
NP_001006667.1	28
NP_001006682.1	3
NP_001006683.1	3
NP_001006684.1	3
NP_001006685.1	23
NP_001006933.2	206
NP_001006934.1	26
NP_001006936.1	33
NP_001006938.1	33
NP_001006940.3	144
NP_001006942.1	138
NP_001006945.1	165
NP_001006946.1	75
NP_001006947.1	105
NP_001006948.1	130
NP_001007.2	37
NP_001007023.2	235
NP_001007024.1	92
NP_001007025.1	51
NP_001007026.1	79
NP_001007027.1	357
NP_001007028.1	133
NP_001007034.1	65
NP_001007068.1	88
NP_001007069.1	87
NP_001007070.1	88
NP_001007071.1	88
NP_001007073.1	75
NP_001007074.1	33
NP_001007075.1	33
NP_001007076.1	185
NP_001007089.1	96
NP_001007090.3	52
NP_001007091.1	72
NP_001007095.1	208
NP_001007098.1	91
NP_001007099.1	76
NP_001007100.1	28
NP_001007101.1	27
NP_001007102.1	250
NP_001007103.1	214
NP_001007123.1	266
NP_001007126.1	48
NP_001007140.2	57
NP_001007170.1	58
NP_001007177.1	36
NP_001007189.1	159
NP_001007190.1	23
NP_001007215.1	36
NP_001007226.1	122
NP_001007227.1	20
NP_001007228.1	20
NP_001007229.1	20
NP_001007230.1	20
NP_001007231.1	20
NP_001007232.2	210
NP_001007233.1	65
NP_001007235.1	74
NP_001007238.1	342
NP_001007240.1	179
NP_001007241.2	198
NP_001007246.1	112
NP_001007247.1	10
NP_001007249.1	256
NP_001007251.1	12
NP_001007254.2	229
NP_001007256.1	103
NP_001007258.1	495
NP_001007260.1	114
NP_001007262.1	99
NP_001007268.1	466
NP_001007270.1	53
NP_001007271.1	53
NP_001007279.1	129
NP_001007465.1	27
NP_001007467.1	180
NP_001007468.1	543
NP_001007469.1	41
NP_001007470.1	25
NP_001007472.2	498
NP_001007526.3	622
NP_001007528.1	168
NP_001007531.1	32
NP_001007532.1	149
NP_001007533.1	48
NP_001007534.1	71
NP_001007535.1	119
NP_001007538.1	54
NP_001007539.1	99
NP_001007541.2	134
NP_001007545.1	61
NP_001007554.1	157
NP_001007560.1	117
NP_001007562.1	191
NP_001007564.1	69
NP_001007566.1	104
NP_001007594.2	265
NP_001007596.2	70
NP_001007793.1	286
NP_001007794.1	61
NP_001007795.1	81
NP_001008.1	25
NP_001008212.1	178
NP_001008213.1	178
NP_001008214.1	178
NP_001008216.1	25
NP_001008217.1	137
NP_001008220.1	2
NP_001008221.1	26
NP_001008223.1	36
NP_001008224.1	69
NP_001008225.1	442
NP_001008226.1	98
NP_001008227.1	160
NP_001008229.1	75
NP_001008230.1	70
NP_001008238.1	66
NP_001008240.1	109
NP_001008270.1	89
NP_001008271.2	87
NP_001008273.1	40
NP_001008274.1	40
NP_001008275.2	136
NP_001008388.1	79
NP_001008389.1	24
NP_001008390.1	225
NP_001008391.1	32
NP_001008392.2	309
NP_001008393.1	58
NP_001008394.1	39
NP_001008395.1	137
NP_001008396.1	33
NP_001008397.1	391
NP_001008398.2	52
NP_001008401.3	305
NP_001008405.1	119
NP_001008409.1	194
NP_001008410.1	247
NP_001008485.1	175
NP_001008486.1	164
NP_001008487.1	164
NP_001008489.1	82
NP_001008491.1	70
NP_001008492.1	70
NP_001008493.1	136
NP_001008495.2	69
NP_001008496.2	367
NP_001008503.2	194
NP_001008504.2	188
NP_001008505.2	211
NP_001008528.1	37
NP_001008529.1	20
NP_001008530.1	148
NP_001008534.1	13
NP_001008535.1	9
NP_001008536.1	330
NP_001008537.1	275
NP_001008539.3	308
NP_001008540.1	75
NP_001008541.1	50
NP_001008563.2	349
NP_001008564.1	149
NP_001008566.1	128
NP_001008657.1	332
NP_001008660.1	150
NP_001008661.1	154
NP_001008662.1	142
NP_001008693.2	75
NP_001008695.1	100
NP_001008697.1	274
NP_001008701.1	412
NP_001008703.1	84
NP_001008704.1	84
NP_001008707.1	204
NP_001008708.1	106
NP_001008709.1	55
NP_001008710.1	36
NP_001008711.1	44
NP_001008712.1	35
NP_001008723.1	349
NP_001008726.1	130
NP_001008727.1	96
NP_001008738.2	297
NP_001008739.1	69
NP_001008740.1	60
NP_001008743.1	118
NP_001008744.1	217
NP_001008747.1	7
NP_001008749.2	89
NP_001008777.2	162
NP_001008778.1	115
NP_001008779.1	68
NP_001008781.2	1494
NP_001008783.1	124
NP_001008784.2	110
NP_001008800.1	174
NP_001008801.1	223
NP_001008844.1	719
NP_001008860.1	122
NP_001008892.1	122
NP_001008894.1	117
NP_001008895.1	139
NP_001008901.1	58
NP_001008910.1	97
NP_001008938.1	449
NP_001008949.1	224
NP_001009.1	20
NP_001009181.1	21
NP_001009182.1	86
NP_001009183.1	78
NP_001009184.1	109
NP_001009185.1	210
NP_001009186.1	128
NP_001009552.1	37
NP_001009554.1	90
NP_001009555.3	254
NP_001009562.3	276
NP_001009565.1	103
NP_001009566.1	351
NP_001009568.1	143
NP_001009570.1	80
NP_001009571.2	332
NP_001009584.1	61
NP_001009606.3	155
NP_001009608.1	163
NP_001009609.2	33
NP_001009611.2	104
NP_001009612.1	20
NP_001009613.1	23
NP_001009614.1	24
NP_001009615.1	72
NP_001009616.1	13
NP_001009811.2	495
NP_001009812.1	93
NP_001009813.1	137
NP_001009814.1	404
NP_001009877.2	160
NP_001009880.1	120
NP_001009881.1	389
NP_001009894.2	102
NP_001009905.1	158
NP_001009909.2	118
NP_001009921.1	386
NP_001009922.1	66
NP_001009923.1	46
NP_001009924.1	38
NP_001009925.1	38
NP_001009931.1	1122
NP_001009932.1	72
NP_001009933.1	72
NP_001009934.1	72
NP_001009936.1	45
NP_001009939.1	80
NP_001009941.1	134
NP_001009943.1	111
NP_001009944.2	1784
NP_001009955.1	48
NP_001009958.1	56
NP_001009959.1	108
NP_001009960.1	167
NP_001009984.1	348
NP_001009991.2	286
NP_001009992.1	227
NP_001009993.2	46
NP_001009994.1	36
NP_001009996.1	171
NP_001009997.2	96
NP_001009998.1	106
NP_001009999.1	95
NP_001010.2	11
NP_001010844.1	116
NP_001010846.1	151
NP_001010847.1	20
NP_001010848.2	229
NP_001010851.1	173
NP_001010852.2	74
NP_001010853.1	106
NP_001010854.1	239
NP_001010855.1	308
NP_001010857.1	40
NP_001010858.2	12
NP_001010859.1	83
NP_001010860.1	256
NP_001010861.1	71
NP_001010862.2	42
NP_001010863.1	48
NP_001010866.1	152
NP_001010867.1	124
NP_001010868.2	39
NP_001010870.1	931
NP_001010872.1	381
NP_001010873.1	56
NP_001010874.2	147
NP_001010875.1	98
NP_001010876.1	53
NP_001010877.2	211
NP_001010879.2	155
NP_001010880.2	234
NP_001010881.1	167
NP_001010883.2	88
NP_001010886.1	56
NP_001010887.2	99
NP_001010888.3	133
NP_001010889.1	11
NP_001010891.4	73
NP_001010892.1	256
NP_001010893.1	192
NP_001010895.1	201
NP_001010896.2	80
NP_001010897.1	15
NP_001010898.1	195
NP_001010903.3	330
NP_001010904.1	45
NP_001010906.1	245
NP_001010908.1	38
NP_001010909.2	178
NP_001010911.1	49
NP_001010912.1	151
NP_001010915.2	81
NP_001010917.1	52
NP_001010919.1	71
NP_001010922.1	61
NP_001010923.1	246
NP_001010924.1	327
NP_001010926.1	31
NP_001010927.1	228
NP_001010931.1	67
NP_001010932.1	169
NP_001010933.1	65
NP_001010934.1	43
NP_001010935.1	23
NP_001010938.1	542
NP_001010939.2	126
NP_001010940.1	101
NP_001010942.1	9
NP_001010969.2	202
NP_001010971.1	29
NP_001010972.1	242
NP_001010974.1	47
NP_001010977.1	116
NP_001010978.2	79
NP_001010979.1	36
NP_001010980.1	37
NP_001010982.2	115
NP_001010983.1	111
NP_001010984.1	70
NP_001010985.2	156
NP_001010986.1	163
NP_001010987.1	191
NP_001010989.1	126
NP_001011.1	34
NP_001011515.1	94
NP_001011516.1	90
NP_001011537.2	101
NP_001011543.2	87
NP_001011544.1	71
NP_001011546.1	34
NP_001011547.2	270
NP_001011548.1	122
NP_001011549.1	122
NP_001011550.1	122
NP_001011551.1	56
NP_001011552.2	330
NP_001011554.1	173
NP_001011645.1	53
NP_001011649.1	646
NP_001011655.1	165
NP_001011658.1	14
NP_001011663.1	98
NP_001011666.1	97
NP_001011667.1	27
NP_001011668.1	48
NP_001011669.1	25
NP_001011670.1	21
NP_001011671.1	42
NP_001011699.1	169
NP_001011700.2	39
NP_001011703.1	55
NP_001011705.1	122
NP_001011709.2	198
NP_001011713.2	97
NP_001011717.1	57
NP_001011718.1	172
NP_001011719.1	160
NP_001011720.1	183
NP_001011722.2	424
NP_001011724.1	107
NP_001011725.1	107
NP_001011878.1	27
NP_001011880.2	35
NP_001011885.1	107
NP_001012241.1	64
NP_001012264.1	76
NP_001012267.1	93
NP_001012270.1	39
NP_001012271.1	55
NP_001012276.2	6
NP_001012277.2	6
NP_001012279.1	215
NP_001012288.2	74
NP_001012300.1	122
NP_001012302.2	329
NP_001012303.1	122
NP_001012320.1	161
NP_001012329.1	33
NP_001012331.1	284
NP_001012333.1	54
NP_001012334.1	54
NP_001012337.1	66
NP_001012338.1	228
NP_001012339.2	211
NP_001012361.1	126
NP_001012393.1	71
NP_001012398.1	61
NP_001012409.1	212
NP_001012410.1	229
NP_001012411.1	105
NP_001012412.1	122
NP_001012413.1	98
NP_001012414.1	8
NP_001012415.2	184
NP_001012416.1	58
NP_001012417.2	63
NP_001012418.2	148
NP_001012419.1	7
NP_001012421.1	7
NP_001012425.1	59
NP_001012426.1	198
NP_001012427.1	198
NP_001012428.1	94
NP_001012448.2	133
NP_001012457.3	120
NP_001012458.1	65
NP_001012474.1	10
NP_001012496.1	45
NP_001012521.1	75
NP_001012523.1	38
NP_001012524.4	400
NP_001012525.1	26
NP_001012526.2	19
NP_001012527.1	201
NP_001012529.1	79
NP_001012530.1	45
NP_001012531.1	44
NP_001012532.1	88
NP_001012533.1	114
NP_001012534.1	102
NP_001012632.1	70
NP_001012649.1	84
NP_001012650.1	84
NP_001012651.1	67
NP_001012652.1	65
NP_001012653.1	65
NP_001012654.1	76
NP_001012660.1	118
NP_001012661.1	94
NP_001012662.1	47
NP_001012677.1	102
NP_001012680.1	170
NP_001012682.1	168
NP_001012726.1	97
NP_001012727.1	88
NP_001012728.1	101
NP_001012733.2	90
NP_001012734.2	35
NP_001012736.1	84
NP_001012738.1	122
NP_001012740.1	110
NP_001012745.1	136
NP_001012746.1	77
NP_001012747.1	76
NP_001012750.1	70
NP_001012768.1	101
NP_001012769.1	94
NP_001012770.1	101
NP_001012771.1	187
NP_001012772.1	124
NP_001012773.2	65
NP_001012774.1	126
NP_001012776.1	120
NP_001012777.1	370
NP_001012779.2	138
NP_001012780.1	354
NP_001012781.1	92
NP_001012975.1	322
NP_001012976.1	164
NP_001012977.1	263
NP_001012982.1	82
NP_001012983.1	53
NP_001012985.2	562
NP_001012986.2	28
NP_001012987.1	83
NP_001012988.1	69
NP_001012989.2	70
NP_001012991.1	43
NP_001012992.1	69
NP_001012993.1	98
NP_001012996.1	24
NP_001012997.1	35
NP_001012998.2	171
NP_001012999.3	374
NP_001013.1	30
NP_001013002.2	87
NP_001013003.1	34
NP_001013007.1	47
NP_001013009.2	192
NP_001013011.2	116
NP_001013012.1	124
NP_001013049.1	356
NP_001013269.1	148
NP_001013271.1	99
NP_001013272.1	99
NP_001013273.1	99
NP_001013275.1	279
NP_001013276.1	12
NP_001013372.1	10
NP_001013373.1	181
NP_001013416.1	65
NP_001013417.1	17
NP_001013421.1	80
NP_001013424.1	184
NP_001013425.2	6
NP_001013433.1	70
NP_001013453.1	18
NP_001013454.1	91
NP_001013455.1	111
NP_001013456.1	80
NP_001013457.1	97
NP_001013597.1	72
NP_001013633.1	92
NP_001013641.2	127
NP_001013642.1	181
NP_001013644.1	212
NP_001013645.1	25
NP_001013647.2	44
NP_001013648.1	58
NP_001013650.1	113
NP_001013652.1	207
NP_001013653.1	147
NP_001013654.1	48
NP_001013657.3	73
NP_001013660.1	201
NP_001013663.1	172
NP_001013664.1	5
NP_001013665.1	13
NP_001013668.2	47
NP_001013669.1	63
NP_001013671.2	61
NP_001013672.1	111
NP_001013675.1	71
NP_001013679.2	174
NP_001013680.1	275
NP_001013681.2	156
NP_001013682.2	227
NP_001013683.1	113
NP_001013685.1	67
NP_001013712.4	105
NP_001013715.2	101
NP_001013716.2	115
NP_001013720.2	85
NP_001013721.2	66
NP_001013725.2	474
NP_001013728.2	214
NP_001013754.3	324
NP_001013756.2	108
NP_001013757.1	151
NP_001013758.1	332
NP_001013764.1	232
NP_001013765.2	83
NP_001013768.1	312
NP_001013858.1	329
NP_001013859.1	329
NP_001013860.1	439
NP_001013861.1	200
NP_001013863.1	142
NP_001013864.1	165
NP_001013865.1	257
NP_001013867.1	33
NP_001013870.1	223
NP_001014.1	14
NP_001014301.1	77
NP_001014305.1	98
NP_001014308.2	201
NP_001014313.1	30
NP_001014358.1	52
NP_001014364.1	903
NP_001014402.1	128
NP_001014431.1	93
NP_001014432.1	93
NP_001014433.1	83
NP_001014434.1	115
NP_001014435.1	41
NP_001014436.1	132
NP_001014437.1	295
NP_001014440.2	66
NP_001014442.2	2
NP_001014443.1	194
NP_001014445.1	78
NP_001014446.1	52
NP_001014447.1	501
NP_001014448.1	417
NP_001014449.1	55
NP_001014450.1	19
NP_001014451.1	77
NP_001014763.1	131
NP_001014764.1	22
NP_001014765.1	113
NP_001014794.1	158
NP_001014795.1	158
NP_001014796.1	210
NP_001014797.1	172
NP_001014809.1	168
NP_001014811.1	178
NP_001014812.1	40
NP_001014831.1	223
NP_001014832.1	223
NP_001014834.1	164
NP_001014835.1	164
NP_001014837.1	64
NP_001014838.1	64
NP_001014839.1	140
NP_001014840.1	74
NP_001014841.1	133
NP_001014842.1	165
NP_001014972.1	706
NP_001014977.2	28
NP_001014979.2	110
NP_001014980.1	114
NP_001014986.1	136
NP_001014987.1	73
NP_001014988.1	73
NP_001014989.2	87
NP_001014990.1	64
NP_001015.1	17
NP_001015002.1	156
NP_001015038.1	16
NP_001015045.1	218
NP_001015048.1	142
NP_001015049.1	159
NP_001015050.2	114
NP_001015051.3	137
NP_001015052.1	171
NP_001015053.1	280
NP_001015054.1	160
NP_001015055.1	221
NP_001015056.1	202
NP_001015072.2	78
NP_001015508.1	74
NP_001015509.1	63
NP_001015877.1	26
NP_001015878.1	109
NP_001015879.1	104
NP_001015880.1	224
NP_001015881.1	17
NP_001015882.2	84
NP_001015885.1	53
NP_001015887.1	126
NP_001015891.1	48
NP_001015892.1	80
NP_001016.1	9
NP_001017.1	18
NP_001017361.1	88
NP_001017363.1	157
NP_001017364.1	83
NP_001017365.1	84
NP_001017366.1	83
NP_001017367.1	84
NP_001017368.1	105
NP_001017369.1	39
NP_001017370.1	108
NP_001017371.3	163
NP_001017372.1	244
NP_001017373.2	209
NP_001017388.1	299
NP_001017390.1	1
NP_001017392.2	378
NP_001017395.2	111
NP_001017396.1	138
NP_001017397.1	26
NP_001017398.1	19
NP_001017402.1	557
NP_001017403.1	344
NP_001017404.1	298
NP_001017405.1	90
NP_001017408.1	115
NP_001017415.1	220
NP_001017416.1	220
NP_001017417.1	1
NP_001017418.1	11
NP_001017420.1	181
NP_001017423.1	225
NP_001017424.1	91
NP_001017425.2	95
NP_001017434.1	158
NP_001017437.2	323
NP_001017440.1	45
NP_001017520.1	202
NP_001017523.1	179
NP_001017524.1	110
NP_001017526.1	397
NP_001017528.1	183
NP_001017529.1	157
NP_001017530.1	157
NP_001017534.1	63
NP_001017535.1	131
NP_001017536.1	136
NP_001017915.1	238
NP_001017916.1	95
NP_001017917.1	95
NP_001017919.1	117
NP_001017920.2	44
NP_001017921.1	44
NP_001017922.1	176
NP_001017923.1	121
NP_001017924.1	281
